WGSID	OUTBREAK
PNUSAS017644	1704MLTDK-1
PNUSAS017648	1704MLTDK-1
PNUSAS017656	1704MLTDK-1
PNUSAS017704	1704MLTDK-1
PNUSAS017705	1704MLTDK-1
PNUSAS017719	1704MLTDK-1
PNUSAS017731	1704MLTDK-1
PNUSAS017738	1704MLTDK-1
PNUSAS017743	1704MLTDK-1
PNUSAS017746	1704MLTDK-1
PNUSAS017749	1704MLTDK-1
PNUSAS017750	1704MLTDK-1
PNUSAS017753	1704MLTDK-1
PNUSAS017764	1704MLTDK-1
PNUSAS017765	1704MLTDK-1
PNUSAS017842	1704MLTDK-1
PNUSAS017847	1704MLTDK-1
PNUSAS017850	1704MLTDK-1
PNUSAS017853	1704MLTDK-1
PNUSAS017855	1704MLTDK-1
PNUSAS017861	1704MLTDK-1
PNUSAS017865	1704MLTDK-1
PNUSAS017917	1704MLTDK-1
PNUSAS017926	1704MLTDK-1
PNUSAS017944	1704MLTDK-1
PNUSAS017961	1704MLTDK-1
PNUSAS017996	1704MLTDK-1
PNUSAS017997	1704MLTDK-1
PNUSAS018016	1704MLTDK-1
PNUSAS018054	1704MLTDK-1
PNUSAS018068	1704MLTDK-1
PNUSAS018090	1704MLTDK-1
PNUSAS018094	1704MLTDK-1
PNUSAS018161	1704MLTDK-1
PNUSAS018164	1704MLTDK-1
PNUSAS018226	1704MLTDK-1
PNUSAS018228	1704MLTDK-1
PNUSAS018248	1704MLTDK-1
PNUSAS018271	1704MLTDK-1
PNUSAS018320	1704MLTDK-1
PNUSAS018327	1704MLTDK-1
PNUSAS018333	1704MLTDK-1
PNUSAS018345	1704MLTDK-1
PNUSAS018351	1704MLTDK-1
PNUSAS018357	1704MLTDK-1
PNUSAS018430	1704MLTDK-1
PNUSAS018470	1704MLTDK-1
PNUSAS018474	1704MLTDK-1
PNUSAS018482	1704MLTDK-1
PNUSAS018483	1704MLTDK-1
PNUSAS018484	1704MLTDK-1
PNUSAS018485	1704MLTDK-1
PNUSAS018487	1704MLTDK-1
PNUSAS018488	1704MLTDK-1
PNUSAS018490	1704MLTDK-1
PNUSAS018552	1704MLTDK-1
PNUSAS018568	1704MLTDK-1
PNUSAS018633	1704MLTDK-1
PNUSAS018646	1704MLTDK-1
PNUSAS018738	1704MLTDK-1
PNUSAS018749	1704MLTDK-1
PNUSAS018752	1704MLTDK-1
PNUSAS018855	1704MLTDK-1
PNUSAS018861	1704MLTDK-1
PNUSAS018929	1704MLTDK-1
PNUSAS018942	1704MLTDK-1
PNUSAS018943	1704MLTDK-1
PNUSAS018952	1704MLTDK-1
PNUSAS018953	1704MLTDK-1
PNUSAS018968	1704MLTDK-1
PNUSAS019051	1704MLTDK-1
PNUSAS019079	1704MLTDK-1
PNUSAS019080	1704MLTDK-1
